iter	RMSE
0	108532.6903
1	102614.5042
2	97111.40644
3	92422.49643
4	88320.20575
5	84630.10806
6	81395.67658
7	78508.13137
8	76007.04416
9	73745.96309
10	71821.13181
11	69901.37333
12	68001.71312
13	66648.63555
14	65474.78537
15	64159.78602
16	62935.89422
17	61884.47583
18	61138.17114
19	60342.66077
20	59719.83192
21	58964.64626
22	58412.49776
23	57837.15981
24	57374.23558
25	56909.1723
26	56465.51783
27	56018.13337
28	55576.24608
29	55242.06269
30	54731.54203
31	54319.5957
32	53955.30449
33	53688.03364
34	53363.39251
35	53148.50279
36	52866.88185
37	52548.39401
38	52337.84936
39	52035.58141
40	51837.64393
41	51608.91206
42	51294.89603
43	51116.46234
44	50887.04486
45	50659.82786
46	50449.54461
47	50248.46775
48	49991.29396
49	49856.71599
50	49688.19137
51	49526.39395
52	49370.17677
53	49183.75329
54	49028.66888
55	48848.98551
56	48721.15997
57	48562.61865
58	48419.3311
59	48287.48428
60	48122.63496
61	47951.18099
62	47826.78407
63	47725.66428
64	47608.74209
65	47477.40537
66	47324.29968
67	47202.45665
68	47107.78227
69	47020.49002
70	46898.49733
71	46759.2788
72	46685.30098
73	46576.88383
74	46426.20554
75	46338.63771
76	46238.99522
77	46154.3951
78	46024.69815
79	45924.67115
80	45840.93272
81	45778.31139
82	45706.49679
83	45580.18573
84	45407.21996
85	45300.13987
86	45178.01443
87	45038.30414
88	44965.20344
89	44862.10311
90	44769.00598
91	44702.21025
92	44620.06587
93	44507.61096
94	44428.36606
95	44353.93355
96	44246.30425
97	44147.34836
98	44050.74928
99	43977.52287
