iter	Passed	Remaining
0	32	3178
1	63	3103
2	93	3030
3	122	2945
4	151	2886
5	181	2846
6	210	2800
7	241	2775
8	272	2750
9	302	2722
10	333	2694
11	363	2663
12	392	2629
13	423	2603
14	454	2578
15	485	2549
16	516	2523
17	548	2497
18	579	2469
19	610	2441
20	640	2410
21	673	2388
22	706	2363
23	736	2333
24	767	2303
25	797	2270
26	827	2236
27	856	2202
28	886	2169
29	914	2134
30	944	2102
31	974	2070
32	1003	2038
33	1033	2005
34	1062	1973
35	1092	1941
36	1121	1909
37	1149	1875
38	1179	1845
39	1209	1813
40	1238	1781
41	1266	1749
42	1295	1716
43	1323	1684
44	1351	1652
45	1380	1620
46	1408	1588
47	1437	1556
48	1464	1524
49	1492	1492
50	1520	1461
51	1549	1430
52	1577	1399
53	1605	1367
54	1632	1335
55	1661	1305
56	1688	1273
57	1716	1243
58	1744	1212
59	1772	1181
60	1799	1150
61	1827	1120
62	1854	1089
63	1882	1059
64	1911	1029
65	1938	998
66	1966	968
67	1994	938
68	2025	909
69	2055	880
70	2084	851
71	2113	821
72	2142	792
73	2171	762
74	2199	733
75	2228	703
76	2257	674
77	2287	645
78	2316	615
79	2345	586
80	2374	556
81	2403	527
82	2433	498
83	2462	469
84	2492	439
85	2521	410
86	2550	381
87	2579	351
88	2608	322
89	2637	293
90	2666	263
91	2694	234
92	2722	204
93	2752	175
94	2780	146
95	2809	117
96	2840	87
97	2871	58
98	2902	29
99	2933	0
